[2026-04-28T08:23:35.630Z] GET http://localhost:8080/ → 200 (7ms, 23155B)
[2026-04-28T08:23:35.645Z] GET https://fonts.googleapis.com/css2?family=Bebas+Neue&family=Share+Tech+Mono&family=Cormorant+Garamond:ital,wght@0,300;0,400;1,300&display=swap → pending (?ms, ?B)
[2026-04-28T08:23:35.645Z] GET http://localhost:8080/style.css → 200 (6ms, 39787B)
[2026-04-28T08:23:35.645Z] GET http://localhost:8080/main.js → 200 (8ms, 21711B)
[2026-04-28T08:23:35.655Z] GET https://unpkg.com/three@0.170.0/build/three.module.js → pending (?ms, ?B)
[2026-04-28T08:23:35.655Z] GET https://unpkg.com/three@0.170.0/examples/jsm/renderers/CSS3DRenderer.js → pending (?ms, ?B)
[2026-04-28T08:23:43.370Z] GET http://localhost:8080/assets/ba-before.png → 200 (9ms, 878838B)
[2026-04-28T08:23:43.370Z] GET http://localhost:8080/assets/ba-after.png → 200 (15ms, ?B)
[2026-04-28T08:23:43.371Z] GET http://localhost:8080/assets/dent-before.png → 200 (15ms, ?B)
[2026-04-28T08:23:43.376Z] GET http://localhost:8080/assets/dent-after.png → 200 (3ms, 622050B)
[2026-04-28T08:23:43.376Z] GET http://localhost:8080/assets/bumper-before.png → 200 (10ms, ?B)
[2026-04-28T08:23:43.376Z] GET http://localhost:8080/assets/bumper-after.png → 200 (10ms, ?B)
[2026-04-28T08:23:43.376Z] GET http://localhost:8080/assets/paint-before.png → 200 (12ms, ?B)
[2026-04-28T08:23:43.376Z] GET http://localhost:8080/assets/paint-after.png → 200 (12ms, ?B)
[2026-04-28T08:23:43.377Z] GET http://localhost:8080/assets/scratch-before.png → 200 (11ms, ?B)
[2026-04-28T08:23:43.377Z] GET http://localhost:8080/assets/scratch-after.png → 200 (12ms, ?B)
[2026-04-28T08:23:43.377Z] GET http://localhost:8080/assets/accident-before.png → 200 (16ms, ?B)
[2026-04-28T08:23:43.377Z] GET http://localhost:8080/assets/polish-before.png → 200 (19ms, ?B)
[2026-04-28T08:23:43.377Z] GET http://localhost:8080/assets/polish-after.png → 200 (20ms, ?B)
[2026-04-28T08:23:43.377Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtK.woff2 → pending (?ms, ?B)
[2026-04-28T08:23:43.377Z] GET https://fonts.gstatic.com/s/sharetechmono/v16/J7aHnp1uDWRBEqV98dVQztYldFcLowEF.woff2 → pending (?ms, ?B)
